Stock Year Catch ABC OFL SSB TotBiom
FLATHEAD 2018 2.202 35.2653 43.0097 85.7621 281.629
FLATHEAD 2019 2.668 36.7555 44.8328 89.1405 283.153
FLATHEAD 2020 1.965 38.1918 46.5672 92.4575 282.352
FLATHEAD 2021 2.269 39.3769 47.9816 95.3384 280.98
FLATHEAD 2022 2.269 39.8509 48.5342 96.8331 278.418
FLATHEAD 2023 39.7496 39.7496 48.3974 97.1531 275.427
FLATHEAD 2024 31.9295 31.9295 38.8973 78.4934 236.97
FLATHEAD 2025 26.3444 26.3444 32.1177 64.9026 210.614
FLATHEAD 2026 22.496 22.496 27.449 55.3612 193
FLATHEAD 2027 19.9191 19.9191 24.324 48.8574 181.433
FLATHEAD 2028 18.2294 18.2294 22.2753 44.5223 173.991
FLATHEAD 2029 17.1271 17.1271 20.9394 41.6806 169.026
FLATHEAD 2030 16.3886 16.3886 20.0452 39.8543 165.849
