Stock Year Catch ABC OFL SSB TotBiom
FLATHEAD 2018 2.202 35.265 43.0093 85.7613 281.552
FLATHEAD 2019 2.647 36.7546 44.8317 89.1385 282.986
FLATHEAD 2020 38.193 38.193 46.5685 92.4613 282.014
FLATHEAD 2021 32.3755 32.3755 39.4765 78.5641 246.087
FLATHEAD 2022 27.6149 27.6149 33.6777 67.3318 219.129
FLATHEAD 2023 23.8416 23.8416 29.0885 58.388 199.546
FLATHEAD 2024 21.0204 21.0204 25.6613 51.5601 185.837
FLATHEAD 2025 19.0118 19.0118 23.2232 46.5687 176.587
FLATHEAD 2026 17.6346 17.6346 21.5528 43.0634 170.466
FLATHEAD 2027 16.7015 16.7015 20.4221 40.6884 166.603
FLATHEAD 2028 16.0489 16.0489 19.6325 39.1377 164.225
FLATHEAD 2029 15.6102 15.6102 19.1026 38.18 162.966
FLATHEAD 2030 15.3588 15.3588 18.7994 37.6348 162.349
FLATHEAD 2031 15.2361 15.2361 18.6517 37.3519 162.109
FLATHEAD 2032 15.1905 15.1905 18.5971 37.2245 161.998
FLATHEAD 2033 15.1811 15.1811 18.5861 37.1835 161.899
