Stock Year Catch ABC OFL SSB TotBiom
projection_data.dat 2023 1.90797 39.4801 48.1608 94.0586 294.188
projection_data.dat 2024 1.90797 40.2222 49.0727 95.9325 293.277
projection_data.dat 2025 40.9469 40.9469 49.9441 97.7181 291.2
projection_data.dat 2026 33.6237 33.6237 41.0197 80.4416 251.642
projection_data.dat 2027 28.0259 28.0259 34.2055 67.2372 223.441
projection_data.dat 2028 23.9245 23.9245 29.2231 57.515 203.901
projection_data.dat 2029 21.1123 21.1123 25.8082 50.707 190.752
projection_data.dat 2030 19.2338 19.2338 23.5253 46.0271 182.08
projection_data.dat 2031 17.9562 17.9562 21.9733 42.8101 176.382
projection_data.dat 2032 17.072 17.072 20.901 40.6388 172.824
projection_data.dat 2033 16.4545 16.4545 20.1535 39.2376 170.672
projection_data.dat 2034 16.0517 16.0517 19.6666 38.389 169.584
projection_data.dat 2035 15.829 15.829 19.3978 37.9173 169.069
projection_data.dat 2036 15.7264 15.7264 19.2742 37.6797 168.893
projection_data.dat 2037 15.6898 15.6898 19.2304 37.5773 168.817
projection_data.dat 2038 15.6857 15.6857 19.2259 37.5504 168.734
