Stock Year Catch ABC OFL SSB TotBiom
FLATHEAD 2018 2.202 35.2651 43.0095 85.7617 281.628
FLATHEAD 2019 2.647 36.7553 44.8326 89.1401 283.153
FLATHEAD 2020 2.246 38.1957 46.5719 92.4669 282.371
FLATHEAD 2021 2.246 39.3257 47.9194 95.2158 280.73
FLATHEAD 2022 39.8087 39.8087 48.483 96.7311 278.222
FLATHEAD 2023 32.3287 32.3287 39.3878 79.1104 239.854
FLATHEAD 2024 26.7819 26.7819 32.6509 65.8198 212.977
FLATHEAD 2025 22.863 22.863 27.8948 56.2206 194.721
FLATHEAD 2026 20.1905 20.1905 24.6533 49.5383 182.631
FLATHEAD 2027 18.4187 18.4187 22.5049 45.021 174.751
FLATHEAD 2028 17.2573 17.2573 21.0972 42.0314 169.727
FLATHEAD 2029 16.4769 16.4769 20.152 40.0864 166.335
FLATHEAD 2030 15.9536 15.9536 19.5189 38.8586 164.194
