Stock Year Catch ABC OFL SSB TotBiom
projection_data.dat 2023 0.47 39.5045 48.1905 94.117 294.305
projection_data.dat 2024 0.626 40.5282 49.4446 96.6649 294.737
projection_data.dat 2025 1.108 41.4759 50.587 98.9864 293.674
projection_data.dat 2026 1.108 41.9797 51.1763 100.272 291.288
projection_data.dat 2027 41.9788 41.9788 51.1577 100.541 288.423
projection_data.dat 2028 33.4108 33.4108 40.7428 80.4674 247.001
projection_data.dat 2029 27.4048 27.4048 33.4471 66.1503 218.872
projection_data.dat 2030 23.3353 23.3353 28.5032 56.2237 200.186
projection_data.dat 2031 20.59 20.59 25.1693 49.436 187.914
projection_data.dat 2032 18.7731 18.7731 22.9643 44.8869 180.105
projection_data.dat 2033 17.6009 17.6009 21.5424 41.9193 175.21
projection_data.dat 2034 16.8152 16.8152 20.5907 40.0316 172.315
projection_data.dat 2035 16.301 16.301 19.9686 38.8831 170.631
projection_data.dat 2036 15.9924 15.9924 19.5958 38.2252 169.743
projection_data.dat 2037 15.832 15.832 19.4023 37.8759 169.262
projection_data.dat 2038 15.7589 15.7589 19.3144 37.709 168.96
