Stock Year Catch ABC OFL SSB TotBiom
projection_data.dat 2023 1.90799 39.8503 48.6924 93.4352 292.067
projection_data.dat 2024 1.90799 40.5281 49.5298 95.2178 291.438
projection_data.dat 2025 41.2334 41.2334 50.3827 96.9855 289.631
projection_data.dat 2026 33.7238 33.7238 41.2199 79.6157 250.058
projection_data.dat 2027 28.0916 28.0916 34.3524 66.5494 222.014
projection_data.dat 2028 23.9748 23.9748 29.3421 56.9974 202.622
projection_data.dat 2029 21.1322 21.1322 25.8852 50.3192 189.603
projection_data.dat 2030 19.2334 19.2334 23.5746 45.7357 181.05
projection_data.dat 2031 17.9501 17.9501 22.0132 42.5942 175.458
projection_data.dat 2032 17.0571 17.0571 20.9288 40.4767 171.983
projection_data.dat 2033 16.4352 16.4352 20.1751 39.1207 169.905
projection_data.dat 2034 16.0372 16.0372 19.6935 38.3107 168.884
projection_data.dat 2035 15.8213 15.8213 19.4326 37.8682 168.416
projection_data.dat 2036 15.7253 15.7253 19.3169 37.6501 168.274
projection_data.dat 2037 15.6933 15.6933 19.2786 37.5597 168.225
projection_data.dat 2038 15.6914 15.6914 19.2767 37.5403 168.158
